"NU_ANO_CENSO";"CO_MUNICIPIO_IES";"nome_municipio";"IN_CAPITAL_IES";"TP_ORGANIZACAO_ACADEMICA";"TP_REDE";"TP_CATEGORIA_ADMINISTRATIVA";"IN_COMUNITARIA";"IN_CONFESSIONAL";"NO_MANTENEDORA";"CO_MANTENEDORA";"CO_IES";"NO_IES";"SG_IES";"DS_ENDERECO_IES";"DS_NUMERO_ENDERECO_IES";"DS_COMPLEMENTO_ENDERECO_IES";"NO_BAIRRO_IES";"NU_CEP_IES";"QT_TEC_TOTAL";"QT_TEC_FUNDAMENTAL_INCOMP_FEM";"QT_TEC_FUNDAMENTAL_INCOMP_MASC";"QT_TEC_FUNDAMENTAL_COMP_FEM";"QT_TEC_FUNDAMENTAL_COMP_MASC";"QT_TEC_MEDIO_FEM";"QT_TEC_MEDIO_MASC";"QT_TEC_SUPERIOR_FEM";"QT_TEC_SUPERIOR_MASC";"QT_TEC_ESPECIALIZACAO_FEM";"QT_TEC_ESPECIALIZACAO_MASC";"QT_TEC_MESTRADO_FEM";"QT_TEC_MESTRADO_MASC";"QT_TEC_DOUTORADO_FEM";"QT_TEC_DOUTORADO_MASC";"IN_ACESSO_PORTAL_CAPES";"IN_ACESSO_OUTRAS_BASES";"IN_ASSINA_OUTRA_BASE";"IN_REPOSITORIO_INSTITUCIONAL";"IN_BUSCA_INTEGRADA";"IN_SERVICO_INTERNET";"IN_PARTICIPA_REDE_SOCIAL";"IN_CATALOGO_ONLINE";"QT_PERIODICO_ELETRONICO";"QT_LIVRO_ELETRONICO";"QT_DOC_TOTAL";"QT_DOC_EXE";"QT_DOC_EX_FEMI";"QT_DOC_EX_MASC";"QT_DOC_EX_SEM_GRAD";"QT_DOC_EX_GRAD";"QT_DOC_EX_ESP";"QT_DOC_EX_MEST";"QT_DOC_EX_DOUT";"QT_DOC_EX_INT";"QT_DOC_EX_INT_DE";"QT_DOC_EX_INT_SEM_DE";"QT_DOC_EX_PARC";"QT_DOC_EX_HOR";"QT_DOC_EX_0_29";"QT_DOC_EX_30_34";"QT_DOC_EX_35_39";"QT_DOC_EX_40_44";"QT_DOC_EX_45_49";"QT_DOC_EX_50_54";"QT_DOC_EX_55_59";"QT_DOC_EX_60_MAIS";"QT_DOC_EX_BRANCA";"QT_DOC_EX_PRETA";"QT_DOC_EX_PARDA";"QT_DOC_EX_AMARELA";"QT_DOC_EX_INDIGENA";"QT_DOC_EX_COR_ND";"QT_DOC_EX_BRA";"QT_DOC_EX_EST";"QT_DOC_EX_COM_DEFICIENCIA"
"2023";"5300108";"Brasília";"1";"2";"2";"4";"0";"0";"INSTITUTO EURO-AMERICANO DE EDUCACAO, CIENCIA E TECNOLOGIA S.A.";"770";"1113";"CENTRO UNIVERSITÁRIO EURO-AMERICANO";"UNIEURO";"SCES Trecho 0 - Conjunto 5";"s/n";"Avenida das Nações Sul";"Asa Sul";"70200001";"         235";"           0";"           8";"           5";"           4";"          53";"          52";"          45";"          20";"          29";"          12";"           5";"           2";"           0";"           0";"1";"0";"1";"1";"1";"1";"0";"1";"       25302";"       15682";"         244";"         244";"         121";"         123";"           0";"           0";"          32";"         120";"          92";"         100";"           0";"         100";"         120";"          24";"           3";"          17";"          37";"          55";"          45";"          39";"          23";"          25";"         108";"           6";"          39";"           1";"           0";"          90";"         241";"           3";"           1"
"2023";"5300108";"Brasília";"1";"3";"2";"4";"0";"0";"ANHANGUERA EDUCACIONAL PARTICIPACOES S/A";"16452";"1173";"FACULDADE ANHANGUERA DE BRASÍLIA";"Anhanguera DF";"Quadra QS 1 Rua 210";"40";"FAB-Taguatinga Shopping";"Areal (Águas Claras)";"71950770";"         136";"           0";"           0";"           1";"           0";"          34";"          27";"          15";"          10";"          25";"          15";"           6";"           2";"           0";"           1";"0";"0";"1";"1";"0";"1";"1";"1";"       32908";"      263916";"         160";"         160";"          75";"          85";"           0";"           0";"          51";"          51";"          58";"          53";"           0";"          53";"          87";"          20";"           7";"          27";"          36";"          35";"          23";"          15";"           5";"          12";"         107";"           7";"          37";"           6";"           1";"           2";"         159";"           1";"           2"
"2023";"5221858";"Valparaíso de Goiás";"0";"3";"2";"4";"0";"0";"CENTRO EDUCACIONAL SUPERIOR TECNOLOGICO LTDA";"18650";"1402";"INSTITUTO DE CIÊNCIAS SOCIAIS E HUMANAS";"ICSH";"Rua 17, Quadra 47";"18 a 20";"(Quadras 36,37,47,48,58,59)";"Jardim Oriente";"72870215";"           3";"           0";"           0";"           1";"           0";"           1";"           0";"           1";"           0";"           0";"           0";"           0";"           0";"           0";"           0";"0";"0";"0";"0";"0";"1";"1";"0";"           6";"           1";"          11";"           7";"           6";"           1";"           0";"           0";"           6";"           1";"           0";"           0";"           0";"           0";"           7";"           0";"           0";"           0";"           0";"           2";"           1";"           2";"           2";"           0";"           6";"           0";"           1";"           0";"           0";"           0";"           7";"           0";"           0"
"2023";"5300108";"Brasília";"1";"2";"2";"4";"0";"0";"ASSOBES ENSINO SUPERIOR LTDA.";"519";"1446";"CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL - UNIPLAN";"UNIPLAN";"Avenida Pau Brasil";"02";"Campus de Águas Claras";"Sul (Águas Claras)";"71926000";"          71";"           2";"           2";"           1";"           2";"          14";"          17";"          20";"           7";"           4";"           2";"           0";"           0";"           0";"           0";"0";"0";"0";"1";"1";"1";"0";"1";"         450";"       23000";"         801";"         786";"         414";"         372";"           0";"           0";"         433";"         276";"          77";"         189";"           1";"         188";"         530";"          67";"         201";"         146";"         135";"         109";"          78";"          65";"          28";"          24";"         175";"          28";"         507";"           6";"           8";"          62";"         786";"           0";"           0"
"2023";"5300108";"Brasília";"1";"3";"2";"4";"0";"0";"ERICH FROMM INSTITUTO EDUCACIONAL LTDA";"18316";"1477";"FACULDADE ERICH FROMM";"FACEF";"Quadra QI 3";"1 a 4";"Avenida SANDU";"Setor Industrial (Taguatinga)";"72135030";"          27";"           0";"           0";"           3";"           3";"           3";"           3";"           3";"           2";"           6";"           4";"           0";"           0";"           0";"           0";"0";"0";"0";"0";"1";"1";"1";"1";"         100";"          10";"          20";"          20";"           6";"          14";"           0";"           0";"           1";"          13";"           6";"           0";"           0";"           0";"           0";"          20";"           0";"           0";"           4";"           3";"           3";"           1";"           2";"           7";"           5";"           1";"          10";"           0";"           0";"           4";"          20";"           0";"           0"
"2023";"5300108";"Brasília";"1";"2";"2";"5";"0";"0";"BCEC - BRASIL CENTRAL DE EDUCACAO E CULTURA LTDA";"1014";"1538";"CENTRO UNIVERSITARIO PROJEÇÃO";"UNIPROJEÇÃO";"Área Especial 5/6, Setor";"s/n";"UniProjeção - Campus Taguatinga";"Taguatinga";"72115700";"         490";"           7";"           5";"          14";"          11";"          89";"          74";"          82";"          64";"          22";"          25";"          33";"          43";"          11";"          10";"0";"0";"1";"1";"1";"1";"1";"1";"         534";"       13820";"          56";"          56";"          30";"          26";"           0";"           0";"           0";"          16";"          40";"           0";"           0";"           0";"          56";"           0";"           0";"           4";"          10";"          15";"          13";"           9";"           3";"           2";"          24";"           3";"          29";"           0";"           0";"           0";"          56";"           0";"           0"
"2023";"5221858";"Valparaíso de Goiás";"0";"3";"2";"4";"0";"0";"CENTRO TECNOLOGICO DE EDUCACAO SENA AIRES LTDA";"1036";"1580";"FACULDADE DE CIÊNCIAS E EDUCAÇÃO SENA AIRES";"FACESA";"Rua Acre Quadra 2";"17/18";"-";"Chácaras  Anhanguera";"72870508";"          37";"           0";"           1";"           1";"           1";"           6";"           8";"           5";"           7";"           6";"           1";"           0";"           1";"           0";"           0";"1";"0";"1";"1";"1";"1";"1";"1";"           1";"        6500";"          29";"          29";"          14";"          15";"           0";"           0";"           0";"          11";"          18";"           6";"           0";"           6";"          21";"           2";"           0";"           4";"           3";"           4";"           6";"           2";"           5";"           5";"          17";"           1";"          10";"           0";"           0";"           1";"          29";"           0";"           0"
"2023";"5300108";"Brasília";"1";"2";"2";"4";"0";"0";"IESST - INSTITUTO DE ENSINO SUPERIOR SOCIAL E TECNOLOGICO";"1086";"1660";"CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA";"ESTÁCIO BRASÍLIA";"CSG 09";"Lotes 15/16";"TAGUATINGA";"Taguatinga";"72035509";"         161";"           0";"           0";"           0";"           0";"           7";"          13";"          15";"           7";"          24";"          23";"          33";"          25";"           5";"           9";"0";"0";"1";"1";"0";"1";"0";"1";"       36000";"       25000";"         342";"         342";"         189";"         153";"           0";"           0";"          60";"         202";"          80";"         147";"           0";"         147";"          81";"         114";"          16";"          54";"          57";"          70";"          59";"          40";"          30";"          16";"          90";"          10";"          41";"           1";"           2";"         198";"         340";"           2";"           3"
"2023";"5300108";"Brasília";"1";"3";"2";"4";"0";"0";"GUATAG - SOCIEDADE DE ASSISTENCIA EDUCACIONAL LTDA";"14955";"1661";"Faculdade Projeção de Sobradinho";"FAPRO";"Quadra 2 Rua B";"s/n";"Faculdade Projeção de Sobradinho";"Setor Industrial (Sobradinho)";"73020020";"          92";"           0";"           0";"           0";"           0";"          14";"          10";"          15";"           3";"           7";"          10";"          12";"          15";"           3";"           3";"0";"0";"1";"1";"1";"1";"1";"1";"         534";"       13820";"          25";"          25";"          10";"          15";"           0";"           0";"           0";"           7";"          18";"           0";"           0";"           0";"          25";"           0";"           0";"           1";"           1";"           6";"           8";"           4";"           3";"           2";"           8";"           2";"          15";"           0";"           0";"           0";"          25";"           0";"           0"
"2023";"5206206";"Cristalina";"0";"3";"2";"4";"0";"0";"SOCIEDADE BRASILEIRA DE ENSINO E PESQUISA DE CRISTALINA LTDA";"1118";"1696";"FACULDADE SOBRESP DE CRISTALINA";"";"Rua Getúlio Vargas";"1.478";"-";"Centro";"73850000";"           9";"           0";"           0";"           0";"           0";"           2";"           1";"           4";"           0";"           0";"           0";"           1";"           1";"           0";"           0";"0";"0";"0";"1";"0";"1";"1";"1";"          80";"       10000";"          18";"          18";"          15";"           3";"           0";"           0";"           4";"           7";"           7";"           7";"           0";"           7";"          11";"           0";"           4";"           1";"           4";"           2";"           3";"           0";"           2";"           2";"          11";"           1";"           3";"           0";"           0";"           3";"          18";"           0";"           0"
